season,ht,salary,name,points,position,tall
2015-2016,79,"261,894",Joe Johnson,400,SF,Yes
2015-2016,74,"1,007,026",Joe Young,345,PG,No
2015-2016,81,"2,500,000",Joel Anthony,232,C,Yes
2015-2016,84,"4,626,960",Joel Embiid,148,C,Yes
2015-2016,83,"1,709,719",Joffrey Lauvergne,276,C,Yes
2015-2016,83,"2,943,221",John Henson,206,PF,Yes
2015-2016,76,"981,348",John Jenkins,354,SG,No
2015-2016,76,"15,851,950",John Wall,22,PG,No
2015-2016,82,"1,035,000",Jon Leuer,339,PF,Yes
2015-2016,82,"5,000,000",Jonas Jerebko,143,PF,Yes
2015-2016,84,"4,660,482",Jonas Valanciunas,147,C,Yes
2015-2016,77,"1,404,600",Jordan Adams,296,SG,Yes
2015-2016,79,"1,015,421",Jordan Hamilton,340,SG,Yes
2015-2016,77,"49,709",Jordan McRae,415,SG,Yes
2015-2016,80,"1,170,960",Jordan Mickey,319,PF,Yes
2015-2016,75,"947,276",Jorge Gutierrez,359,PG,No
2015-2016,75,"7,402,812",Jose Calderon,95,PG,No
2015-2016,79,"1,140,240",Josh Huestis,329,SF,Yes
2015-2016,82,"5,543,725",Josh McRoberts,125,PF,Yes
2015-2016,78,"525,093",Josh Richardson,385,SG,Yes
2015-2016,76,"10,595,507",Jrue Holiday,61,PG,No
2015-2016,81,"3,132,240",Julius Randle,197,PF,Yes
2015-2016,78,"1,449,000",Justin Anderson,294,SG,Yes
2015-2016,79,"2,481,720",Justise Winslow,234,SF,Yes
2015-2016,83,"1,842,000",Jusuf Nurkic,270,C,Yes
2015-2016,78,"3,189,794",K.J. McDaniels,194,SG,Yes
2015-2016,84,"5,703,600",Karl-Anthony Towns,119,C,Yes
2015-2016,79,"16,407,500",Kawhi Leonard,18,SF,Yes
2015-2016,73,"61,776",Keith Appling,410,PG,No
2015-2016,84,"2,165,160",Kelly Olynyk,249,C,Yes
2015-2016,79,"1,920,240",Kelly Oubre Jr.,268,SF,Yes
2015-2016,73,"12,000,000",Kemba Walker,51,PG,No
2015-2016,76,"2,144,772",Kendall Marshall,251,PG,No
2015-2016,82,"947,276",Kendrick Perkins,364,C,Yes
2015-2016,80,"11,235,955",Kenneth Faried,58,PF,Yes
2015-2016,77,"2,000,000",Kent Bazemore,265,SF,Yes
2015-2016,77,"2,891,760",Kentavious Caldwell-Pope,210,SG,Yes
2015-2016,81,"20,158,622",Kevin Durant,7,SF,Yes
2015-2016,83,"8,500,000",Kevin Garnett,78,PF,Yes
2015-2016,82,"19,689,000",Kevin Love,11,PF,Yes
2015-2016,79,"7,085,000",Kevin Martin,96,SG,Yes
2015-2016,81,"1,131,960",Kevon Looney,331,SF,Yes
2015-2016,80,"14,700,000",Khris Middleton,31,SG,Yes
2015-2016,76,"2,854,940",Kirk Hinrich,214,SG,No
2015-2016,79,"15,501,000",Klay Thompson,27,SG,Yes
2015-2016,78,"25,000,000",Kobe Bryant,1,SG,Yes
2015-2016,84,"7,700,000",Kosta Koufos,92,C,Yes
2015-2016,81,"800,321",Kostas Papanikolaou,377,SF,Yes
2015-2016,81,"1,000,000",Kris Humphries,346,PF,Yes
2015-2016,87,"4,131,720",Kristaps Porzingis,162,PF,Yes
2015-2016,81,"1,142,880",Kyle Anderson,328,SF,Yes
2015-2016,80,"525,093",Kyle Casey,386,SF,Yes
2015-2016,79,"5,746,479",Kyle Korver,118,SG,Yes
2015-2016,72,"12,000,000",Kyle Lowry,52,PG,No
2015-2016,82,"3,750,000",Kyle O'Quinn,177,PF,Yes
2015-2016,80,"4,500,000",Kyle Singler,150,SF,Yes
2015-2016,75,"16,407,501",Kyrie Irving,17,PG,No
2015-2016,77,"525,093",Lamar Patterson,396,SG,Yes
2015-2016,83,"19,689,000",LaMarcus Aldridge,10,PF,Yes
2015-2016,77,"9,000,000",Lance Stephenson,76,SF,Yes
2015-2016,80,"1,636,842",Lance Thomas,280,SF,Yes
2015-2016,74,"845,059",Langston Galloway,371,SG,No
2015-2016,81,"1,155,600",Larry Nance Jr.,323,PF,Yes
2015-2016,81,"4,050,000",Lavoy Allen,165,PF,Yes
2015-2016,75,"2,500,000",Leandro Barbosa,231,SG,No
2015-2016,80,"22,970,500",LeBron James,2,SF,Yes
2015-2016,75,"1,015,421",Lester Hudson,341,SG,No
2015-2016,77,"111,444",Lorenzo Brown,406,PG,Yes
2015-2016,81,"1,635,476",Lou Amundson,281,PF,Yes
2015-2016,73,"7,000,000",Louis Williams,101,SG,No
2015-2016,84,"1,842,000",Lucas Nogueira,269,C,Yes
2015-2016,79,"525,093",Luis Montero,392,SG,Yes
2015-2016,81,"2,900,000",Luis Scola,207,PF,Yes
2015-2016,81,"1,100,602",Luke Babbitt,336,SF,Yes
2015-2016,74,"2,750,000",Luke Ridnour,222,PG,No
2015-2016,81,"10,151,612",Luol Deng,65,SF,Yes
2015-2016,78,"2,814,000",Manu Ginobili,220,SG,Yes
2015-2016,85,"19,688,000",Marc Gasol,12,C,Yes
2015-2016,83,"11,217,391",Marcin Gortat,59,C,Yes
