PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,W,SALARYMILL,PAGEVIEWS,FAVORITE,RETWEET
Damian Lillard,PG,26,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6,12.1,0.492,6.5,7.3,0.895,0.6,4.3,5.9,0.9,0.3,2.6,2,27,POR,75,35.9,38,24.33,1830.5,186.5,43
Pau Gasol,C,36,25.4,4.7,9.4,0.502,0.9,1.6,0.538,3.9,7.8,0.494,2,2.9,0.707,1.7,6.2,2.3,0.4,1.1,1.3,1.7,12.4,SA,64,25.4,47,15.5,1983.5,882.5,148.5
Kevin Love,PF,28,31.4,6.2,14.5,0.427,2.4,6.5,0.373,3.8,8,0.471,4.3,4.9,0.871,2.5,8.6,1.9,0.9,0.4,2,2.1,19,CLE,60,31.4,40,21.17,2013.5,866.5,194.5
Karl-Anthony Towns,C,21,37,9.8,18,0.542,1.2,3.4,0.367,8.5,14.7,0.582,4.3,5.2,0.832,3.6,8.7,2.7,0.7,1.3,2.6,2.9,25.1,MIN,82,37,31,5.96,2046.5,0,105
Blake Griffin,PF,27,34,7.9,15.9,0.493,0.6,1.9,0.336,7.2,14.1,0.514,5.2,6.9,0.76,1.8,6.3,4.9,0.9,0.4,2.3,2.6,21.6,LAC,61,34,40,20.14,2257,269,98.5
Kawhi Leonard,SF,25,33.4,8.6,17.7,0.485,2,5.2,0.38,6.6,12.5,0.529,6.3,7.2,0.88,1.1,4.7,3.5,1.8,0.7,2.1,1.6,25.5,SA,74,33.4,54,17.64,2446.5,2701.5,716.5
Dwight Howard,C,31,29.7,5.2,8.3,0.633,0,0,0,5.2,8.3,0.635,3.1,5.7,0.533,4,8.7,1.4,0.9,1.2,2.3,2.7,13.5,ATL,74,29.7,37,23.18,2558.5,7,1
Chris Paul,PG,31,31.5,6.1,12.9,0.476,2,5,0.411,4.1,7.9,0.518,3.8,4.3,0.892,0.7,4.3,9.2,2,0.1,2.4,2.4,18.1,LAC,61,31.5,43,22.87,2689.5,829,178.5
Vince Carter,SF,40,24.6,2.6,6.7,0.394,1.5,4.1,0.378,1.1,2.7,0.418,1.2,1.6,0.765,0.5,2.6,1.8,0.8,0.5,0.7,2.2,8,MEM,73,24.7,36,4.26,2891.5,0,7
Kris Humphries,PF,31,12.3,1.6,3.8,0.407,0.3,1,0.352,1.2,2.9,0.425,1.1,1.5,0.78,1.1,2.6,0.5,0.3,0.4,0.5,1.2,4.6,ATL,56,12.3,31,4,2940.5,67,9
Draymond Green,PF,26,32.5,3.6,8.6,0.418,1.1,3.5,0.308,2.5,5.1,0.494,2,2.8,0.709,1.3,6.6,7,2,1.4,2.4,2.9,10.2,GS,76,32.5,62,15.33,2946,627,168.5
Dirk Nowitzki,PF,38,26.4,5.5,12.6,0.437,1.5,3.9,0.378,4,8.7,0.463,1.8,2.1,0.875,0.4,6.1,1.5,0.6,0.7,0.9,2.1,14.2,DAL,54,26.4,23,25,2960,1564,500.5
Jeremy Lin,PG,28,24.5,4.9,11.1,0.438,1.6,4.3,0.372,3.3,6.8,0.48,3.2,3.9,0.816,0.3,3.4,5.1,1.2,0.4,2.4,2.2,14.5,BKN,36,24.5,13,11.48,3147,936.5,197.5
Derrick Rose,PG,28,32.5,7.2,15.3,0.471,0.2,0.9,0.217,7,14.3,0.487,3.5,4,0.874,1,2.8,4.4,0.7,0.3,2.3,1.3,18,NY,64,32.5,26,21.32,3273.5,1864,2504.5
James Harden,PG,27,36.4,8.3,18.9,0.44,3.2,9.3,0.347,5.1,9.6,0.53,9.2,10.9,0.847,1.2,7,11.2,1.5,0.5,5.7,2.7,29.1,HOU,81,36.4,54,26.5,3279,969,321.5
Klay Thompson,SG,26,34,8.3,17.6,0.468,3.4,8.3,0.414,4.8,9.3,0.516,2.4,2.8,0.853,0.6,3,2.1,0.8,0.5,1.6,1.8,22.3,GS,78,34,66,16.66,3708,797,225
Carmelo Anthony,SF,32,34.3,8.1,18.8,0.433,2,5.7,0.359,6.1,13.1,0.466,4.1,4.9,0.833,0.8,5.1,2.9,0.8,0.5,2.1,2.7,22.4,NY,74,34.3,29,24.56,3773.5,720.5,220
Russell Westbrook,PG,28,34.6,10.2,24,0.425,2.5,7.2,0.343,7.7,16.8,0.459,8.8,10.4,0.845,1.7,9,10.4,1.6,0.4,5.4,2.3,31.6,OKC,81,34.6,46,26.5,4279,2130.5,559
Dwyane Wade,SG,35,29.9,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,3.7,4.7,0.794,1.1,3.5,3.8,1.4,0.7,2.3,1.9,18.3,CHI,60,29.9,29,23.2,4671,349.5,149.5
Kyrie Irving,PG,24,35.1,9.3,19.7,0.473,2.5,6.1,0.401,6.9,13.6,0.505,4.1,4.6,0.905,0.7,2.5,5.8,1.2,0.3,2.5,2.2,25.2,CLE,72,35.1,47,17.64,4796,1541,695
Kevin Durant,SF,28,33.4,8.9,16.5,0.537,1.9,5,0.375,7,11.5,0.608,5.4,6.2,0.875,0.6,7.6,4.8,1.1,1.6,2.2,1.9,25.1,GS,62,33.4,51,26.5,6288.5,1425.5,366
LeBron James,SF,32,37.8,9.9,18.2,0.548,1.7,4.6,0.363,8.3,13.5,0.611,4.8,7.2,0.674,1.3,7.3,8.7,1.2,0.6,4.1,1.8,26.4,CLE,74,37.8,51,30.96,14704,5533.5,1501.5
Stephen Curry,PG,28,33.4,8.5,18.3,0.468,4.1,10,0.411,4.4,8.3,0.537,4.1,4.6,0.898,0.8,3.7,6.6,1.8,0.2,3,2.3,25.3,GS,79,33.4,65,12.11,17570.5,12278,2893
